00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
bón	(adj) Crowded with, encumbered with; Quite
bón	(noun) Flaw, impurity
bón	(adj) Soiled, tainted
bón	(nói về xe cộ, ngựa) To run smoothly (trên quãng đường dài); To rush
bón	(noun) xem cá bơn; River sand islet
bón	(noun) Gang, band, group
bón	(number) Four, fourth
bón	(noun) Tub; Flower-) bed
bón	(verb) To save every amount of; To squeeze
bộ hình	(từ cũ, nghĩa cũ) Ministry of Justice
bộ hình	(từ cũ, nghĩa cũ) Ministry of Justice
cau hang khong	Air-bridge, air-lift
cau hang khong	Air-bridge, air-lift
chu khao	(noun) Chairman of a board of examiners, head examiner
chu khao	(noun) Chairman of a board of examiners, head examiner
chết điếng	To be stupefied to insensibility (with pain..)
chết điếng	To be stupefied to insensibility (with pain..)
có	(verb) To be; To have, to own
có	(noun) Aunt; auntie; Miss; young lady
có	(verb) To boil down
có	(noun) heart; Muscle; Occasion; possibility; opportunity
có	(verb) To contract, to shrink; To bend, to curl up
có	(noun) Fan-palm
có	(verb) To rub; To scrub, to scour
có	(noun) Grass, weed; Small size
có	(noun) Great grandfather or mother
có	(verb) To mortage; to secure by mortgage; To try; to endeavour
có	(noun) Neck
có	(adj) old; ancient; antique
có	(noun) Set; suite; piece; park
có	(noun) feast; hanquet
có	(noun) cause, reason; ground; pretext
có	(noun) Flag, banner, standard; Vexillum (in a pea flower); Tassel (male inflorescence of maize); Chess; Cờ người thường diễn ra vào dịp hội tháng ba. Nam nữ thanh niên mặc quần áo mang tên quân cờ. Người điều khiển ngồi trên cao điều khiển quân cờ đi. Có khi những nam nữ ấy còn mang theo khí giới và trước khi ăn một quân cờ, họ sẽ múa một thế võ
có	(noun) sire; stature; Caliber; about
có	(noun) Stork; (nói về đồng ruộng) Immense (over which a stork can take a long flight); Postage stamp
dam bac	Group of gamblers, table of gamblers
dam bac	(adj) insipid; simple; frugal
dam bac	Group of gamblers, table of gamblers
dich danh	real name
dich danh	real name
duong nu	(cũ) Adoptive daughter
duong nu	(cũ) Adoptive daughter
gan lien	như gan lì
gan lien	như gan lì
gan lien	(verb) to connect closely, to go with, to be related to
giá bán	Selling price
giá bán	Selling price
ha gioi	This world
ha gioi	This world
hoai co	(verb) to remember things in the past
hoai co	(verb) to remember things in the past
hành khách	(noun) passenger
hành khách	(noun) passenger
hớp	(verb) to sip
hớp	(adj) suitable; conformable; consistant
hớp	(verb) to suit; to fit; to accord
hớp	(adj) hollow; sunken
hớp	(adj) hollow; sunken
hớp	(verb) to meet; to gather; to convene
hớp	(noun) box; can; tin
khon quan	Desperately poor, In great want
khon quan	Desperately poor, In great want
liệu	(verb) to manage; to calculate
liệu	(verb) to risk; to venture
liệu	(noun) dose (of medicine)
liệu	(verb) to risk; to venture
liệu	(noun) dose (of medicine)
liệu	(noun) (bot) willow
lẩm cẩm	(adj) doting
lẩm cẩm	(adj) doting
múa may	Fuss about (ina ridiculous fashion)
múa may	như múa may
múa may	Fuss about (ina ridiculous fashion)
nghi mon	Alter-curtain
nghi mon	Alter-curtain
ngầu ngầu	xem ngầu (láy)
ngầu ngầu	Crunch
ngầu ngầu	Crunch[ing noise]
ngầu ngầu	Crunch[ing noise]
nhun nhun	xem nhũn (láy)
nhun nhun	xem nhũn (láy)
noi lai	(verb) to use slang when speaking
noi lai	(verb) to use slang when speaking
noi lai	Rejoin; Renew
nội các	(noun) cabinet
nội các	(noun) cabinet
phieu bat	Wander, drift
phieu bat	Wander, drift
phấn trần	Feather duster
phấn trần	Clarigy apologetically, explain apologetically (some matter)
phấn trần	Clarigy apologetically, explain apologetically (some matter)
quăn queo	(adj) tortous, twisted
quăn queo	Tortuous
quăn queo	như quăn queo
quăn queo	như quăn queo
quăn queo	(adj) tortous, twisted
rúc rỉa	như rúc
rúc rỉa	như rúc
sinh san	(verb) to produce, to reproduce, to genserate, to beget
sinh san	(verb) to produce, to reproduce, to genserate, to beget
sư tử	(noun) lion
sư tử	(noun) lion
thang hoa	(verb) to sublimate
thang hoa	(verb) to sublimate
thông qua	(verb) to pass, to ratify
thông qua	(conj) through, by
thông qua	(verb) to pass, to ratify
thông qua	(conj) through, by
tê thấp	(noun) rheumatism
tê thấp	(noun) rheumatism
vó câu	(noun) horse step
vó câu	(noun) horse step
ê ê	xem ê (láy)
ê ê	xem ê (láy)
đăng	(verb) to insert; to put
đăng	(noun) gait; air ; shape
đăng	(verb) to extend; to open wide ; to spread out
đăng	(verb) to offer ; to present; To rise; to run high
đăng	(noun) party; gang; band
đăng	used to in front of names denoting talented or famous people)
đăng	(verb) to be the process of
đăng	(verb) to take on the responsibility of
đăng	xem giăng
đăng	(adj) bitterba giăng	Three-month growth rice
đăng	(noun) directionba lăng nhăng	(adj) Idle, worthless, meaningless, trashy
đăng	(noun) rank; grade; classba nhac	(noun) Mother-in-law
đăng	(noun) form; shape
đăng	Able possible; In order to, in order that, for..tobac ai	(adj) Humane
đăng	như đường
đăng	(verb) to pull; to drag out
đăng	(verb) to deserve; to merit
đăng	(adj) worthy;worth
đức độ	Righteousness and generositya dua	(verb) To ape, to chime in, to join in, to take a leaf out of sb's book
đức độ	Righteousness and generosity
bo tu	(verb) To put in jail, to throw in prison
bo tu	(verb) To put in jail, to throw in prison
bóng	(noun) shadow; shade; reflection; ball; football; dried fish bladder; chimney; blub; vale; transistor; shimy; polished; glossy
bóng	(noun) Cotton, cotton-wool; Cotton-like material, fluff; Ear; Bloom, flower
bóng	(lõng bõng) watery
bóng	Hollow
bóng	(Snow-white, shining)
bóng	verb (nói về lớp mỏng bên ngoài) To peel off
bóng	(noun) Vesicle, bladder
bóng	(adj) Burned, scalded, burning, parching, scalding
bóng	xem cá bống
bóng	(noun) Slender waisted tomtom, hourglass-shaped tomtom
bóng	(verb) To swell, to puff; To carry in one's arms
bóng	(noun) Mandarin's salary; Perquisites, perks; Godsend, boon; a piece of just my luck
bóng	(adj) High, high-pitched, treble; dùng phụ sau động từ) High up
bóng	(noun) Fermented distiller's grains, fermented fodder
bóng	(adv) Unexpectedly, all of a sudden
bóng	(noun) Shaddock
bộ hạ	(noun) Subordinate
bộ hạ	(noun) Subordinate
cau hien	(từ cũ) Seek men of great talent (to serve the country)
cau hien	(từ cũ) Seek men of great talent (to serve the country)
chu ky	(noun) period; cycle
chu ky	(noun) period; cycle
chu ky	(noun) signature; hand
chết đuối	To drown
chết đuối	To drown
có chồng	Married
có chồng	Married
dam ban	(verb) to offer for sale
dam ban	(verb) to offer for sale
dich gia	(noun) translator
dich gia	(noun) translator
duong pho	Street
duong pho	Street
giá bán buôn	Wholesale price
giá bán buôn	Wholesale price
ha giong	(verb) to speak down, to tone down
ha giong	(verb) to speak down, to tone down
hoai cua	What a pity
hoai cua	What a pity
hành khúc	march
hành khúc	march
hớt	(verb) to cut; to clip; to crop; to shear
hớt	(verb) (of bird) to sing; (of bird) to twitter
hớt	(verb) (of bird) to sing; (of bird) to twitter
hớt	Ivory (bone) tablet (hold by mandarins when in formal dress); Be frightened; Scoop up (with one's hands); (b) Coin (money); (tiếng địa phương) như hót
hớt	(noun) seed
khon thieng	Capable of being propitiated (nói về linh hồn người chết)
khon thieng	Capable of being propitiated (nói về linh hồn người chết)
kinh ke	Buddhist books of prayers (nói khái quát)
kinh ke	Buddhist books of prayers (nói khái quát)
liệu pháp	(noun) (med) therapeutics
liệu pháp	(noun) (med) therapeutics
lẩn	(verb) to slip away; to steal off
lẩn	(verb) to confound; to make a
lẩn	(adj) doting; forgetful
lẩn	(noun) fold; wrinkle
lẩn	(verb) to dive; to submerge
lẩn	(noun) hand-basket
lẩn	(verb) To encroach; To turn
lẩn	(noun) Phosphorus; Unicorn, kylin; Paper unicornhead (used in a traditional dance)
lẩn	(verb) to pread; to run
lẩn	(noun) orchid
lẩn	(verb) to roll; to wallow
lẩn	(verb) to encroach; to infringe
lẩn	(verb) to nudge
lẩn	(noun) time
lẩn	(verb) to grope one's way; to shuffle on
ngầy	(địa phương) Annoy, trouble, worry
ngầy	Tastily rich, tasting deliciously buttery
ngầy	(noun) Day
ngầy	(verb) to snore
ngầy	[Be] Stupefiel
ngầy	(adj) direct; straight; As soon as
ngầy	Salmonberry (cây); Have one's appetite cloyed; Be fed up with, be tried of
nhun nhuong	(adj) to be modest; humble
nhun nhuong	(adj) to be modest; humble
noi lam	cũng nói nói mhầm Speak by mistake
noi lam	cũng nói nói mhầm Speak by mistake
nội công	(noun) inner force; strangth
nội công	(noun) inner force; strangth
phieu dieu	(văn chương) Float (in the dreamland ...)
phieu dieu	(văn chương) Float (in the dreamland ...)
phấn đấu	(verb) to strive, to contard, to struggle
phấn đấu	(verb) to strive, to contard, to struggle
quăng	(noun) mosquito larva
quăng	(verb) to throw; to cast; to hurl
quăng	(noun) halo; aureole; aureola
quăng	Nhảy quẫng; Gambol, caper
quăng	(verb) to throw away
quăng	(noun) ore
quăng	(noun) hanger
quăng	(adj) clear
quăng	(verb) to hurry up
quăng	(verb) to put on; to throw on
quăng	(adj) nonsensical; absund; Indiscriminate
quăng	(noun) dazzled; blinded
quăng	(noun) section
rúc đầu	(xấu) Slip one's head in
rúc đầu	(xấu) Slip one's head in
sinh sich	xem sịch
sinh sich	xem sịch
sư ông	Bonzedom
sư ông	Bonzedom
thang hoac	supposing occasionally
thang hoac	supposing occasionally
thông số	(noun) parameter
thông số	(noun) parameter
tranh thu	(verb) to make use of
tranh thu	(verb) to make use of
tê tê	(noun) pangolin
tê tê	(noun) pangolin
vóc dáng	(noun) stature, size, build
vóc dáng	(noun) stature, size, build
ê ẩm	(verb) feel a dull and lasting pain
ê ẩm	Unable to find customers; unmarketablean han	(verb) To feel regret, to feel regretful, to repent
ê ẩm	(verb) feel a dull and lasting pain
đăng bạ	(cũ) cũng nói đăng bộ Register
đăng bạ	(cũ) cũng nói đăng bộ Register
đứng	(verb) to stand; to seta giang ho	(noun) prostitute,; street-walker
đứng	(verb) do notac mieng	(adj) Foul-mouthed, foul-tongued
đứng	(verb) to contain; to hold; to have the capicity forac mong	(noun) Nightmare
đứng	Seat
đứng	(verb) to employ; to use; to take
đứng	(địa phương) như nhúng
đứng	(noun) Bravery; courage
đứng	(verb) to offer; to proffer
đứng	(adj) Slack; idle
đứng	(verb) to use; to employ
đứng	Bamboo framing (of a wattle and daub)
đứng	(verb) to stop; to halt
đứng	(verb) to erect; to raise; to set up; to put up
đứng	Tolerate, be tolerant toward, leav unpunished
đứng	Boom, bang
đứng	(verb) to collide; to hit; to hurtle; to dash; to against; To touchbao linh	Act as guarantee for, answer for, be bail for
đứng	just; exact; accurate; right; precise
bao rot	(noun) Tail of a storm
bao rot	(noun) Tail of a storm
bo tu lenh	Command
bo tu lenh	Command
bóng bảy	(adjective) flashy; glomy
bóng bảy	(adjective) flashy; glomy
bộ học	(từ cũ, nghĩa cũ) Ministry of Education
bộ học	Give up one's study, break off one's study, drop out
bộ học	Give up one's study, break off one's study, drop out
cau hinh	(danh từ) (tin học) configuration
cau hinh	(danh từ) (tin học) configuration
chết đứng	To be transfixed (with terror..)
chết đứng	To be transfixed (with terror..)
có chửa	To be big with child (người), to be with young (thu')
có chửa	To be big with child (người), to be with young (thu')
dam bao	(verb) to guarantee
dam bao	(verb) to guarantee
dich giong	(âm nhạc) Transpose
dich giong	(âm nhạc) Transpose
duong phu	(cũ) Adoptive father
duong phu	(cũ) Adoptive father
giá bán lẻ	Retail price
giá bán lẻ	Retail price
ha ha	aha; hee-haw;
ha ha	xem cười ha hả
hoai nghi	(verb) to doubt
hoai nghi	(verb) to doubt
hành khất	(verb) to beg
hành khất	(verb) to beg
hớt hải	Panic, be panic-stricken; Hớt hơ hớt hải(láy, ý tăng)
hớt hải	Panic, be panic-stricken; Hớt hơ hớt hải(láy, ý tăng)
khon xiet	No end of; He lametend with no end of grief
khon xiet	No end of; He lametend with no end of grief
kinh khiep	(ít dùng) Terrible
kinh khiep	(ít dùng) Terrible
lo	(verb) to bother; to worry; to attend to
lo	(noun) soot vase; jar; phial
lo	(noun) dozen
lo	(noun) loss
lo	(noun) road; street
lo	(verb) to come out; to burst forth
lo	(verb) to pretend not to know; to cut
lo	(verb) to miss; to fail; to lose
lo	(noun) kiln; furnace; oven
lo	(verb) to appear; to heave; to come into sight
lo	(noun) lot; portion (of land); batch
lo	(verb) to dissemble; to ignore
lẩn quất	(verb) to lurk about
lẩn quất	(verb) to lurk about
múa mép	Waggle one's tongue (for show)
múa mép	Waggle one's tongue (for show)
nghi nam	Take one's annual leave
nghi nam	Take one's annual leave
ngầy ngà	Importune; nag at
ngầy ngà	Importune; nag at
nhun vai	Shrug one's shoulders
nhun vai	Shrug one's shoulders
noi lang	Shift over to another subject, change subjects
noi lang	Shift over to another subject, change subjects
nội dung	(noun) tenor ; terms
nội dung	(noun) tenor ; terms
phieu lang	(từ cũ) Drift about
phieu lang	(từ cũ) Drift about
phấp phỏng	Be on tenterhooks, be in anxious suspense
phấp phỏng	Throb, heave
phấp phỏng	Be on tenterhooks, be in anxious suspense
quĩ	(noun) fund; treasury
quĩ	danh từ devil; monster
quĩ	(verb) to collapse; to drop down
quĩ	(noun) tortoise
quĩ	(verb) to recognize; to state
quĩ	(noun) sun flower; turnsole
quĩ	(verb) to kneel
quĩ	(noun) quarter quí hai quarter two
quĩ	(adj) valuable; precious
quĩ	(verb) to treasure; to esteem
rúm	Shrivelled
rúm	Safflower; Rum
rúm	Rock-salt.; (địa phương) Noisy, boisterous
sinh soi	(sinh vật) Sinh sôi nảy nở; To multiply
sinh soi	(sinh vật) Sinh sôi nảy nở; To multiply
